@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 {0,1,2,3,4,5}
@attribute outputs-2 {0,1,2,3,4,5}
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4,5}
@attribute outputs-7 {0,1,2,3,4,5}
@attribute outputs-8 {0,1,2,3,4,5}
@attribute outputs-9 {0,1,2,3,4,5}
@attribute outputs-10 {0,1,2,3,4,5}

@data
369,'2024/10/09 12:47:45:529',2,19.838909,-14,12,4,0.980563,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.67,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
370,'2024/10/09 12:47:45:529',2,19.838909,-14,12,4,0.980563,-0.67,0.67,0.29,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
371,'2024/10/09 12:47:45:529',2,19.838909,-14,12,4,0.980563,-0.67,0.57,0.29,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
372,'2024/10/09 12:47:45:530',2,19.838909,-14,12,4,0.980563,-0.67,0.57,0.29,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
373,'2024/10/09 12:47:45:530',2,19.838909,-14,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
374,'2024/10/09 12:47:45:644',2,19.838909,-14,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
375,'2024/10/09 12:47:45:745',2,19.838909,-14,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
376,'2024/10/09 12:47:45:747',2,19.838909,-15,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
377,'2024/10/09 12:47:45:748',2,19.840441,-15,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
378,'2024/10/09 12:47:45:748',2,19.840441,-15,12,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
379,'2024/10/09 12:47:45:748',2,19.840441,-15,13,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
380,'2024/10/09 12:47:45:749',2,19.840441,-15,13,4,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
381,'2024/10/09 12:47:45:749',2,19.840441,-15,13,5,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.67,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
382,'2024/10/09 12:47:45:749',2,19.840441,-15,13,5,0.980563,-0.67,0.57,0.19,-14,13.5,5,-0.69,0.645,0.24,1,1,1,1,?,?,?,?,?,?,?,?,?,?
